sample_id,speaker_id,age,gender,region,education_level,english_learning_years,task_type,speech_duration_sec,word_count,speaking_rate_wpm,pause_count,pronunciation_score,fluency_score,intonation_score,overall_score,target_level
AUD_0,1102,31,Female,Henan,High School,5,Reading,23.27,107,137.89,5,82,61,60,69.10000000000001,Medium
AUD_1,1435,41,Female,Shanghai,High School,14,Reading,41.78,63,141.42,8,82,95,84,86.5,High
AUD_2,1860,40,Female,Sichuan,Undergraduate,14,Reading,35.56,122,128.25,11,67,51,51,57.4,Low
AUD_3,1270,44,Female,Hubei,High School,5,Spontaneous,28.18,88,111.66,7,54,52,52,52.800000000000004,Low
AUD_4,1106,39,Female,Sichuan,Undergraduate,3,Reading,30.79,171,176.43,10,80,50,64,66.2,Medium
AUD_5,1071,24,Male,Shanghai,Postgraduate,4,Spontaneous,78.49,193,127.21,14,65,84,90,78.2,High
AUD_6,1700,38,Male,Zhejiang,Undergraduate,9,Spontaneous,67.83,121,155.46,8,51,73,96,71.1,Medium
AUD_7,1020,24,Female,Jiangsu,Postgraduate,5,Spontaneous,53.89,161,106.56,4,58,96,77,75.1,High
AUD_8,1614,18,Male,Shanghai,Undergraduate,9,Reading,83.62,100,164.05,8,51,97,51,64.8,Medium
AUD_9,1121,34,Male,Shanghai,Postgraduate,7,Spontaneous,22.07,192,109.43,11,86,83,79,83.0,High
AUD_10,1466,26,Female,Hubei,High School,12,Spontaneous,44.15,138,150.78,6,69,69,87,74.39999999999999,Medium
AUD_11,1214,38,Male,Guangdong,Undergraduate,10,Spontaneous,77.64,87,135.58,3,66,65,54,62.10000000000001,Medium
AUD_12,1330,30,Male,Henan,Undergraduate,7,Reading,63.98,154,103.19,11,74,79,55,69.8,Medium
AUD_13,1458,38,Female,Zhejiang,Postgraduate,5,Spontaneous,88.72,128,92.25,4,68,96,54,72.2,Medium
AUD_14,1087,36,Male,Shanghai,Postgraduate,11,Reading,86.12,138,173.77,7,91,88,61,81.1,High
AUD_15,1372,38,Female,Jiangsu,Undergraduate,9,Spontaneous,31.9,120,101.31,14,57,74,53,60.9,Medium
AUD_16,1099,36,Female,Beijing,Postgraduate,7,Spontaneous,88.04,139,153.45,7,60,54,73,62.1,Medium
AUD_17,1871,42,Male,Zhejiang,High School,9,Reading,86.19,121,148.74,8,62,78,74,70.4,Medium
AUD_18,1663,42,Male,Guangdong,Undergraduate,13,Reading,46.15,198,120.75,7,62,86,75,73.1,Medium
AUD_19,1130,39,Male,Sichuan,High School,12,Spontaneous,88.8,65,106.68,10,58,77,95,74.8,Medium
AUD_20,1661,34,Female,Shanghai,Undergraduate,11,Reading,22.51,160,106.05,6,54,90,95,77.1,High
AUD_21,1308,40,Female,Jiangsu,High School,7,Spontaneous,66.25,116,142.68,6,67,72,92,76.0,High
