audio_id,question_id,wpm,pause_count,speech_duration,word_count,average_pause,silence_ratio,long_pause_count,filler_count,repetition_count,hesitation_label
AUD_0,Reading,138,5,23.27,107,,,,,,Medium
AUD_1,Reading,141,8,41.78,63,,,,,,High
AUD_2,Reading,128,11,35.56,122,,,,,,Low
AUD_3,Spontaneous,112,7,28.18,88,,,,,,Low
AUD_4,Reading,176,10,30.79,171,,,,,,Medium
AUD_5,Spontaneous,127,14,78.49,193,,,,,,High
AUD_6,Spontaneous,155,8,67.83,121,,,,,,Medium
AUD_7,Spontaneous,107,4,53.89,161,,,,,,High
AUD_8,Reading,164,8,83.62,100,,,,,,Medium
AUD_9,Spontaneous,109,11,22.07,192,,,,,,High
AUD_10,Spontaneous,151,6,44.15,138,,,,,,Medium
AUD_11,Spontaneous,136,3,77.64,87,,,,,,Medium
AUD_12,Reading,103,11,63.98,154,,,,,,Medium
AUD_13,Spontaneous,92,4,88.72,128,,,,,,Medium
AUD_14,Reading,174,7,86.12,138,,,,,,High
AUD_15,Spontaneous,101,14,31.9,120,,,,,,Medium
AUD_16,Spontaneous,153,7,88.04,139,,,,,,Medium
AUD_17,Reading,149,8,86.19,121,,,,,,Medium
AUD_18,Reading,121,7,46.15,198,,,,,,Medium
AUD_19,Spontaneous,107,10,88.8,65,,,,,,Medium
AUD_20,Reading,106,6,22.51,160,,,,,,High
AUD_21,Spontaneous,143,6,66.25,116,,,,,,High
AUD_22,Spontaneous,139,9,38.63,114,,,,,,High
AUD_23,Reading,169,9,29.06,62,,,,,,Medium
AUD_24,Reading,148,2,60.43,167,,,,,,Medium
AUD_25,Reading,164,4,41.44,110,,,,,,High
AUD_26,Spontaneous,93,14,66.68,81,,,,,,High
AUD_27,Spontaneous,150,7,57.8,189,,,,,,High
AUD_28,Spontaneous,111,7,47.48,144,,,,,,High
AUD_29,Reading,113,2,32.73,90,,,,,,High
AUD_30,Reading,155,3,62.09,185,,,,,,Medium
AUD_31,Reading,161,11,78.05,74,,,,,,High
